               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11074,            0.026764,            0.048328,          0.00013022,            0.033284,          7.7341e-05,          1.8347e-05,             0.10361,             0.02056,            0.046707,             0.00072,             0.00072,             0.09352
                   1,             0.10618,            0.023026,            0.046062,          8.2192e-05,            0.030827,          5.9453e-05,          1.1612e-05,              0.1029,            0.018863,            0.045059,             0.00145,             0.00145,             0.08695
                   2,             0.10478,             0.02229,            0.045017,          0.00013209,            0.019798,          7.0758e-05,          1.8149e-05,             0.10667,             0.01692,            0.045148,             0.00218,             0.00218,             0.08038
                   3,             0.10444,            0.021918,            0.044041,          0.00028659,           0.0026855,          7.8503e-05,          1.8129e-05,             0.10328,            0.017455,            0.043617,           0.0029099,           0.0029099,             0.07381
                   4,             0.10408,            0.022312,            0.043413,           0.0070507,           0.0010695,           0.0001084,          4.8747e-05,             0.10394,            0.016857,            0.043546,           0.0036397,           0.0036397,             0.06724
                   5,             0.10324,            0.022207,            0.042917,          9.2913e-05,            0.027068,          6.0312e-05,          1.1901e-05,             0.10186,            0.017557,             0.04268,           0.0043695,           0.0043695,             0.06067
                   6,             0.10248,            0.021551,            0.042516,          6.8347e-05,            0.022556,          0.00017121,          4.1833e-05,             0.09986,            0.017954,            0.042558,           0.0050992,           0.0050992,            0.054099
                   7,            0.097327,            0.023884,             0.04237,           0.0019447,             0.01203,          0.00057166,          0.00012151,             0.11365,            0.016335,            0.043643,           0.0058287,           0.0058287,            0.047529
                   8,            0.091498,            0.024116,            0.042367,             0.21343,            0.044386,           0.0026773,           0.0007104,             0.08694,            0.019973,            0.042148,           0.0065581,           0.0065581,            0.040958
                   9,            0.086916,            0.024596,            0.041761,             0.02438,            0.059999,           0.0067664,           0.0016213,            0.082831,            0.019385,            0.042223,           0.0072873,           0.0072873,            0.034387
                  10,            0.083995,            0.024011,            0.041225,             0.22962,            0.055373,            0.010378,           0.0024645,            0.091089,             0.01668,            0.043191,           0.0080164,           0.0080164,            0.027816
                  11,            0.081931,            0.022574,            0.041394,            0.022473,            0.056192,           0.0064063,           0.0013781,            0.085157,            0.017603,            0.041396,           0.0087452,           0.0087452,            0.021245
                  12,            0.080413,            0.021841,             0.04081,             0.27305,            0.065507,            0.019073,           0.0047197,            0.078945,            0.018837,            0.041308,           0.0094738,           0.0094738,            0.014674
                  13,             0.07622,            0.022154,            0.040812,             0.27473,             0.10517,            0.030255,             0.00825,            0.073863,            0.017155,            0.041052,           0.0099923,           0.0099923,           0.0099923
                  14,             0.07572,            0.021638,            0.040737,             0.24848,            0.062152,             0.01616,           0.0044856,            0.085387,            0.016775,            0.041424,           0.0099923,           0.0099923,           0.0099923
                  15,            0.072473,            0.020053,            0.040576,             0.27892,             0.13528,            0.040955,            0.012139,            0.068326,            0.016978,             0.04072,           0.0099911,           0.0099911,           0.0099911
                  16,             0.07079,            0.020563,            0.040702,             0.25509,            0.070445,            0.024984,           0.0063873,            0.069455,            0.019329,            0.041023,           0.0099898,           0.0099898,           0.0099898
                  17,            0.068581,            0.019161,            0.039991,             0.32239,             0.13417,            0.060575,            0.019665,            0.073604,            0.015084,            0.040802,           0.0099884,           0.0099884,           0.0099884
                  18,            0.067123,            0.019912,            0.040403,             0.35561,             0.18692,            0.090037,             0.02939,            0.061557,            0.015795,            0.040302,           0.0099869,           0.0099869,           0.0099869
                  19,            0.064105,             0.01938,            0.039917,             0.32734,             0.19585,            0.075082,            0.023931,            0.064314,             0.01488,            0.039971,           0.0099853,           0.0099853,           0.0099853
